epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.168,1.43096,3.07485,1.39464,0.72149,0.19062,0.26936,0.15797,1.76975,2.99381,1.53294,0.000362776,0.000362776,0.000362776
2,119.487,1.23291,1.83565,1.27195,0.24808,0.17711,0.17389,0.08973,2.19447,3.07635,1.99175,0.000725851,0.000725851,0.000725851
3,177.935,1.19978,1.63483,1.23373,0.47467,0.28184,0.27931,0.15298,2.10843,2.66897,1.80978,0.00108159,0.00108159,0.00108159
4,237.98,1.17292,1.53715,1.2101,0.45653,0.39353,0.38161,0.20885,1.81583,2.29281,1.63154,0.001078,0.001078,0.001078
5,297.001,1.14513,1.45348,1.19191,0.34674,0.31724,0.28858,0.1511,1.8707,2.7034,1.52751,0.001067,0.001067,0.001067
6,355.935,1.11531,1.39209,1.17929,0.56633,0.43685,0.45436,0.25014,1.72953,1.76688,1.45378,0.00105601,0.00105601,0.00105601
7,416.01,1.08602,1.32217,1.16193,0.58965,0.4607,0.48438,0.28174,1.69634,1.79212,1.44943,0.00104501,0.00104501,0.00104501
8,476.459,1.0737,1.28953,1.15542,0.47313,0.36183,0.33474,0.18789,1.9733,2.26631,1.61202,0.00103401,0.00103401,0.00103401
9,535.209,1.06117,1.26213,1.1487,0.60483,0.47256,0.51065,0.29566,1.63369,1.67671,1.41796,0.00102301,0.00102301,0.00102301
10,595.672,1.04063,1.22008,1.13857,0.64077,0.51859,0.55332,0.31468,1.63345,1.51767,1.41131,0.00101201,0.00101201,0.00101201
11,654.323,1.03255,1.19925,1.13536,0.52669,0.40823,0.43607,0.25756,1.75203,1.9746,1.49303,0.00100101,0.00100101,0.00100101
12,714.767,1.02241,1.16728,1.12557,0.64141,0.50592,0.54889,0.32101,1.56327,1.58081,1.38454,0.000990012,0.000990012,0.000990012
13,773.696,1.01089,1.14628,1.12328,0.52742,0.48102,0.46298,0.25735,1.70445,1.91442,1.41375,0.000979013,0.000979013,0.000979013
14,834.435,1.00481,1.13101,1.11788,0.6512,0.52191,0.55788,0.32545,1.58253,1.54006,1.37815,0.000968014,0.000968014,0.000968014
15,893.02,0.99259,1.11258,1.11584,0.72729,0.52687,0.61026,0.36138,1.50944,1.34693,1.31648,0.000957015,0.000957015,0.000957015
16,953.452,0.99143,1.10446,1.11182,0.62341,0.5139,0.55822,0.33019,1.57757,1.46257,1.36879,0.000946016,0.000946016,0.000946016
17,1012.26,0.97905,1.08346,1.10943,0.65774,0.52724,0.58744,0.36109,1.48628,1.4634,1.30055,0.000935018,0.000935018,0.000935018
18,1072.8,0.96816,1.06584,1.10387,0.7044,0.59853,0.63811,0.37445,1.53449,1.20946,1.32512,0.000924019,0.000924019,0.000924019
19,1133.99,0.9683,1.05957,1.10232,0.63518,0.51823,0.55956,0.32394,1.63568,1.54335,1.38734,0.00091302,0.00091302,0.00091302
20,1198.2,0.96163,1.0419,1.09794,0.65827,0.47152,0.53921,0.30598,1.63818,1.54638,1.39561,0.000902021,0.000902021,0.000902021
21,1259.21,0.94987,1.03366,1.09335,0.67763,0.58208,0.6113,0.35582,1.55204,1.34798,1.36163,0.000891022,0.000891022,0.000891022
22,1317.09,0.94981,1.01087,1.08959,0.72914,0.59711,0.66861,0.40119,1.48119,1.22309,1.29672,0.000880023,0.000880023,0.000880023
23,1376.73,0.93934,1.00789,1.08807,0.72242,0.57161,0.64919,0.38547,1.44548,1.25168,1.31192,0.000869024,0.000869024,0.000869024
24,1436.27,0.93109,0.9906,1.08482,0.74446,0.59835,0.66493,0.39772,1.4625,1.23185,1.27525,0.000858025,0.000858025,0.000858025
25,1497.05,0.93041,0.98543,1.08399,0.70308,0.54976,0.61364,0.36841,1.54098,1.41806,1.30668,0.000847026,0.000847026,0.000847026
26,1555.21,0.92512,0.97774,1.08052,0.7195,0.59262,0.63819,0.3845,1.46888,1.27251,1.29924,0.000836027,0.000836027,0.000836027
27,1615.04,0.92281,0.9697,1.08037,0.6458,0.6223,0.64736,0.39305,1.47754,1.24434,1.33018,0.000825029,0.000825029,0.000825029
28,1674.4,0.92513,0.96361,1.07896,0.72372,0.59583,0.63927,0.38179,1.48257,1.22086,1.30458,0.00081403,0.00081403,0.00081403
29,1734.77,0.92235,0.96029,1.07793,0.70343,0.59167,0.6329,0.3793,1.49936,1.31669,1.31439,0.000803031,0.000803031,0.000803031
30,1793.02,0.9138,0.94541,1.07435,0.7197,0.60034,0.65676,0.4001,1.46295,1.20374,1.26584,0.000792032,0.000792032,0.000792032
31,1853.49,0.91561,0.95162,1.07498,0.75232,0.58527,0.65511,0.3872,1.49581,1.22875,1.2658,0.000781033,0.000781033,0.000781033
32,1912.8,0.9008,0.92989,1.06737,0.74527,0.61886,0.68765,0.42314,1.4407,1.12043,1.27184,0.000770034,0.000770034,0.000770034
33,1972.76,0.89506,0.91778,1.06375,0.70292,0.64528,0.68919,0.42519,1.43481,1.15231,1.2536,0.000759035,0.000759035,0.000759035
34,2031.55,0.90063,0.91086,1.06553,0.72272,0.58221,0.63885,0.38248,1.49762,1.2716,1.31869,0.000748036,0.000748036,0.000748036
35,2090.56,0.89858,0.91567,1.06653,0.75338,0.6157,0.6822,0.41991,1.40226,1.11101,1.23007,0.000737037,0.000737037,0.000737037
36,2151.1,0.8864,0.90198,1.06288,0.74095,0.61467,0.6586,0.39784,1.46989,1.18388,1.29737,0.000726038,0.000726038,0.000726038
37,2211.82,0.88357,0.90106,1.05961,0.71605,0.63603,0.67721,0.41596,1.42202,1.12919,1.25265,0.00071504,0.00071504,0.00071504
